Freq_GHz,dB_S11,Phase_S11_deg,VSWR
2.41,-0.01003606612881968,131.41175135606727,1730.9353073045013
2.42,-0.010182487311022184,130.19224235504794,1706.044970644617
2.43,-0.010331442644205513,128.9776225032473,1681.447782512521
2.44,-0.010483159308070901,127.76769507609819,1657.1131730751365
2.45,-0.010637871594219382,126.56226618588838,1633.0128911304332
2.46,-0.010795820042927895,125.3611446923947,1609.1210712511354
2.47,-0.010957250630916546,124.16414211371033,1585.4142763583964
2.48,-0.01112241400710521,122.97107253737757,1561.8715180687707
2.49,-0.01129156477346571,121.78175253192435,1538.474256768924
2.5,-0.011464960808262113,120.59600105889211,1515.2063830703723
2.51,-0.01164286262908076,119.41363938542955,1492.054182089343
2.52,-0.011825532793178262,118.23449099751765,1469.0062818558354
2.53,-0.012013235332774179,117.05838151388213,1446.053587074694
2.54,-0.012206235223136425,115.88513860064099,1423.1891994097855
2.55,-0.012404797881260305,114.71459188672603,1400.4083254783077
2.56,-0.012609188693208793,113.5465728801122,1377.7081737424623
2.57,-0.012819672568146288,112.38091488488176,1355.0878415382983
2.58,-0.013036513517366802,111.21745291914266,1332.5481935056582
2.59,-0.013259974256476945,110.05602363381901,1310.0917327534182
2.6,-0.013490315829214117,108.8964652323246,1287.7224661075745
2.61,-0.013727797251359556,107.73861739112672,1265.4457648311982
2.62,-0.013972675173210157,106.58232118120463,1243.2682222270062
2.63,-0.014225203559373019,105.4274189904042,1221.1975095105633
2.64,-0.01448563338439595,104.27375444668672,1199.2422313527159
2.65,-0.014754212343182568,103.12117234226778,1177.4117824172624
2.66,-0.015031184574869592,101.96951855864128,1155.716206192456
2.67,-0.015316790399135536,100.81863999248066,1134.166057318523
2.68,-0.015611266063847669,99.6683844824087,1112.7722685316864
2.69,-0.01591484350304186,98.51860073662723,1091.546023235612
2.7,-0.01622775010430199,97.36913826139534,1070.4986345916839
2.71,-0.016550208484596752,96.21984729034685,1049.6414318966738
2.72,-0.01688243627374437,95.07057871463518,1028.9856548788257
2.73,-0.017224645904634017,93.92118401389563,1008.5423564135891
2.74,-0.017577044409481234,92.7715151880151,988.3223140179438
2.75,-0.017939833221290204,91.62142468969861,968.3359503588383
2.76,-0.01831320797986441,90.47076535782479,948.5932628760941
2.77,-0.018697358341668538,89.31939035158183,929.1037625055502
2.78,-0.019092467792863544,88.16715308537749,909.8764213787716
2.79,-0.019498713464888705,87.0139071645181,890.9196292752639
2.8,-0.01991626595198571,85.85950632165294,872.2411585163287
2.81,-0.02034528913015424,84.70380435398232,853.8481369120854
2.82,-0.02078593997679439,83.54665506122993,835.7470283225467
2.83,-0.02123836839073877,82.38791218438266,817.9436203252355
2.84,-0.0217027170119456,81.22742934520237,800.4430184647357
2.85,-0.022179121040472108,80.06505998651855,783.249646519655
2.86,-0.022667708054179114,78.9006573133126,766.367252215759
2.87,-0.02316859782474593,77.73407423460812,749.7989178048825
2.88,-0.023681902131479034,76.56516330618523,733.5470749373823
2.89,-0.02420772457251464,75.39377667414033,717.6135232639872
2.9,-0.02474616037298414,74.21976601931719,701.9994522230724
2.91,-0.025297296189671758,73.04298250263854,686.7054654946292
2.92,-0.025861209911849956,71.86327671137407,671.7316076261473
2.93,-0.026437970457797423,70.6804986063828,657.07739237282
2.94,-0.027027637566705266,69.49449747037484,642.7418323229203
2.95,-0.027630261585504814,68.30512185724307,628.7234694195423
2.96,-0.028245883250377548,67.11221954252024,615.020406020496
2.97,-0.028874533462472613,65.91563747502374,601.6303361803898
2.98,-0.029516233057606655,64.7152217297567,588.5505768688022
2.99,-0.03017099256952632,63.51081746214151,575.7780988778055
3.0,-0.030838811986510086,62.30226886366864,563.3095572012421
3.01,-0.03151968050095916,61.08941911905141,551.1413207026668
3.02,-0.03221357625172605,59.87211036498707,539.2695009166338
3.03,-0.03292046605890904,58.6501836506298,527.6899798562075
3.04,-0.033640305150889116,57.4234788998957,516.3984367243058
3.05,-0.034373036883358174,56.191834875724126,505.39037345031716
3.06,-0.03511859245019183,54.95508914643273,494.66113899291906
3.07,-0.03587689058594986,53.71307805431522,484.20595237018927
3.08,-0.03664783725988604,52.465636686639186,474.0199243934555
3.09,-0.03743132536136643,51.21259884921469,464.0980780961157
3.1,-0.03822723437660088,49.953797042718094,454.4353678616083
3.11,-0.03903543005667856,48.68906244196547,445.02669726487875
3.12,-0.039855764076896026,47.41822487834564,435.8669356514251
3.13,-0.04068807368743757,46.14111282563754,426.95093348529014
3.14,-0.04153218135555878,44.85755338944771,418.2735365032324
3.15,-0.04238789439936098,43.567372300524696,409.8295987185942
3.16,-0.04325500461348882,42.270393912217465,401.6139943203098
3.17,-0.04413328788697865,40.966441202364884,393.621628517238
3.18,-0.04502250381366823,39.65533577991971,385.8474473788523
3.19,-0.04592239529568622,38.33689789662729,378.28644672444454
3.2,-0.046832688140469515,37.010946464097344,370.93368011498427
3.21,-0.04775309065210197,35.677299076628024,363.7842659996106
3.22,-0.04868329321766436,34.3357720401569,356.8333940701491
3.23,-0.04962296788955502,32.98618040773585,350.0763308748861
3.24,-0.05057176796473196,31.628338021945932,343.50842474270024
3.25,-0.05152932756213478,30.262057564686675,337.1251100659071
3.26,-0.05249526119957801,28.88715061479688,330.92191098940106
3.27,-0.053469163371580905,27.50342771398271,324.8944445516896
3.28,-0.05445060812985409,26.110698441549097,319.03842332091966
3.29,-0.05543914866825467,24.708771498449792,313.3496575675748
3.3,-0.05643431691433698,23.297454801193428,307.8240570127041
3.31,-0.05743562312972392,21.876555586157902,302.4576321891208
3.32,-0.05844255552181276,20.44588052488628,297.246495450473
3.33,-0.05945457986965226,19.005235850954666,292.1868616605769
3.34,-0.06047113916691168,17.554427499015883,287.27504859423743
3.35,-0.06149165328530953,16.093261256638883,282.5074770777935
3.36,-0.06251551866201431,14.621542929576668,277.8806708963479
3.37,-0.06354210801491066,13.1390785211033,273.39125649227526
3.38,-0.06457077009002,11.645674426069387,269.03596247739534
3.39,-0.06560082944529781,10.141137640331447,264.8116189810836
3.4,-0.06663158627603681,8.625275986206393,260.71515685191514
3.41,-0.06766231628663294,7.097898354606357,256.7436067322731
3.42,-0.06869227061447669,5.558814964494781,252.8940980209235
3.43,-0.069720675811801,4.007837640295349,249.1638577382942
3.44,-0.07074673389145938,2.4447801078678806,245.5502093084368
3.45,-0.07176962244341749,0.869458309637124,242.05057126852148
3.46,-0.0727884948286078,-0.718309260568047,238.66245591715395
3.47,-0.07380248045733986,-2.3187012024484988,235.3834679106841
3.48,-0.07481068515974935,-3.9318928334720775,232.21130281555003
3.49,-0.07581219165593249,-5.558055792002621,229.14374562392683
3.5,-0.07680606013363517,-7.197357618972885,226.17866923887794
3.51,-0.07779132894172479,-8.849961317833474,223.31403293367728
3.52,-0.07876701540757093,-10.516024892597423,220.5478807897519
3.53,-0.07973211678670791,-12.195700863896755,217.87834011624068
3.54,-0.08068561135303934,-13.889135763087017,215.3036198536363
3.55,-0.08162645963787696,-15.59646960455435,212.82200896282274
3.56,-0.08255360582588828,-17.317835336523316,210.4318748001656
3.57,-0.08346597931565655,-19.05335827081762,208.13166147877396
3.58,-0.08436249645245378,-20.803155492191877,205.91988821456283
3.59,-0.08524206243991096,-22.567335248036667,203.79514765605126
3.6,-0.08610357343704168,-24.345996319456585,201.75610419503184
3.61,-0.08694591884596262,-26.13922737493403,199.80149225534348
3.62,-0.0877679837948077,-27.947106308014014,197.93011455599637
3.63,-0.08856865181925037,-29.76969956069041,196.14084034411982
3.64,-0.08934680774471376,-31.607061434421837,194.43260359262536
3.65,-0.09010134076963881,-33.45923339097046,192.80440115730144
3.66,-0.09083114774893626,-35.32624334553286,191.255290886454
3.67,-0.09153513667440524,-37.20810495490931,189.78438967664508
3.68,-0.09221223034702865,-39.10481690374988,188.39087146704568
3.69,-0.09286137023388832,-41.01636219220452,187.07396516419263
3.7,-0.09348152049971774,-42.94270742859189,185.83295248902584
3.71,-0.09407167220073705,-44.883802130995946,184.66716573711923
3.72,-0.09463084762552412,-46.839578041973745,183.57598544288763
3.73,-0.09515810476478401,-48.80994846082684,182.55883793820928
3.74,-0.0956525418888215,-50.794807598147194,181.61519279577143
3.75,-0.09611330220867903,-52.79402995757301,180.74456014686677
3.76,-0.09653957859346646,-54.8074697499001,179.94648786399682
3.77,-0.09693061831362808,-56.83496034486873,179.2205585981609
3.78,-0.09728572777672898,-58.87631376608238,178.56638666126173
3.79,-0.09760427721955907,-60.93132023460679,177.98361474429126
3.8,-0.09788570531762683,-62.99974776685167,177.47191046264004
3.81,-0.09812952367067829,-65.08134183232308,177.03096272069442
3.82,-0.09833532112087623,-67.175825076773,176.6604778887433
3.83,-0.09850276785846616,-69.28289711614521,176.36017578670098
3.84,-0.09863161926854049,-71.40223440652088,176.1297854706832
3.85,-0.09872171947187225,-73.5334901949996,175.96904082023087
3.86,-0.09877300451260543,-75.67629455611934,175.8776759263172
3.87,-0.09878550514609868,-77.83025451800489,175.8554202828802
3.88,-0.09875934918149598,-79.99495428194571,175.90199378748144
3.89,-0.09869476333557599,-82.16995553855725,176.01710155999763
3.9,-0.09859207455701469,-84.35479788303947,176.200428592229
3.91,-0.09845171078387208,-86.54899933136339,176.4516342451129
3.92,-0.09827420110122892,-88.75205693845841,176.7703466150113
3.93,-0.09806017527087658,-90.96344751866425,177.15615679548753
3.94,-0.097810362610707,-93.18262846786448,177.60861306617437
3.95,-0.09752559020792734,-95.40903868582774,178.12721504566537
3.96,-0.09720678045660928,-97.64209959637037,178.7114078521386
3.97,-0.09685494791820128,-99.88121626203633,179.36057632010227
3.98,-0.09647119551066063,-102.12577858906384,180.07403932904555
3.99,-0.09605671004021907,-104.37516261750005,180.8510443051807
4.0,-0.09561275709761473,-106.6287318904531,181.6907619638779
